POSTAL_CODE,restaurant_score,visit_volume_score,fast_food_behavior_score,weekend_demand_score,weekday_daytime_score,stability_score,competition_score,restaurant_count,zip_score
2446.0,0.5565568617093969,0.00044907702852820913,0.5647058823529412,0.2,0.6095238095238096,0.9972190337663456,1.0,1,1.0
2199.0,0.5509228067186647,0.025925335035098918,0.5642311649650095,0.3630647878309476,0.44218194894099433,0.9720011901732004,0.9135802469135803,8,0.9602574495347329
2120.0,0.5505069502784457,0.0017549457562220803,0.5564046463038131,0.21940184218659764,0.6314978127564875,0.9923997161331378,0.9135802469135803,8,0.9573240036260761
2126.0,0.5475456363800746,0.0013117776359639793,0.5759036144578313,0.10714285714285714,0.6203612831994111,0.9936679946354825,0.9876543209876543,2,0.9364349339874047
2139.0,0.540669907270285,0.03592616228225673,0.5016458196181698,0.410913872452334,0.48086153626542255,0.8890296388448653,1.0,1,0.8879336304714079
2132.0,0.5310636798762136,0.0027574905260504073,0.5278922180607574,0.23275396474689447,0.5257061982968058,0.991193277319662,0.9753086419753086,3,0.8201714276498668
2131.0,0.5306625854582357,0.002781126159130839,0.5297461530922277,0.2163716315255384,0.5328892537227657,0.9931974314524833,0.9753086419753086,3,0.8173421128536776
2201.0,0.5272678119843169,0.03199082937436479,0.48201882466105106,0.30530656463585415,0.5443260777456844,0.922185992426249,0.9876543209876543,2,0.7933954250191959
2105.0,0.5261835222854339,0.021839324966319223,0.4678958785249458,0.45837837837837836,0.41326042805811586,0.9502125402631916,1.0,1,0.7857468596168853
2121.0,0.5216256269995668,0.002408208392750689,0.4973614367206014,0.27575985644016154,0.5539376096418973,0.992115662320296,0.9012345679012346,9,0.7535955256821003
2130.0,0.5185862042485222,0.003695037304907546,0.490397188354869,0.3552118285104216,0.4779209634269443,0.9823690752703814,0.9012345679012346,9,0.7321554772148109
2119.0,0.5129001546319523,0.0026726446637103944,0.4792832861072497,0.3160037580242235,0.5371716742625737,0.9936912422646593,0.8518518518518519,13,0.6920461573366294
2122.0,0.5095408046515086,0.0019827669973029117,0.4619528619528619,0.23692871156200157,0.6094452713745487,0.9948519952455109,0.9012345679012346,9,0.6683493463633798
2108.0,0.5070183168118239,0.026794421075665285,0.5129118501402312,0.35330832472421014,0.5033059041359716,0.9515134335915428,0.6296296296296297,31,0.6505557500226267
2134.0,0.5052226894155446,0.00811010505525086,0.5141512511654901,0.3243171686573518,0.4589940295874977,0.9862928925654401,0.728395061728395,23,0.637889417775101
2129.0,0.502354533970331,0.0030667233921860596,0.45030313578713754,0.339193405243297,0.4837629926296638,0.9916006217200832,0.9135802469135803,8,0.6176574866506913
2125.0,0.49781139500228255,0.010465131077766688,0.4506761924395945,0.21197565592614664,0.6213396975854002,0.9723087717109257,0.8518518518518519,13,0.5856102435894511
2118.0,0.4868613890583381,0.006268814501105503,0.5106095153190336,0.2940035860155568,0.5508609499238657,0.9889696007897072,0.4691358024691358,44,0.5083690443931277
2109.0,0.484899814712524,0.011347115421848276,0.5170132384023332,0.35167240987124215,0.494484744731131,0.9650740345585725,0.4320987654320988,47,0.49453212452668577
2135.0,0.4842430921283503,0.004812805786002978,0.4113630998691596,0.4371880736763538,0.3737712099591734,0.9863668183301264,0.9135802469135803,8,0.48989961197823934
2113.0,0.48355145120912,0.009438299179843531,0.5151228136983474,0.37223401250645133,0.40764184232356326,0.9772414063016033,0.5185185185185186,40,0.48502078594946085
2124.0,0.4818946929785138,0.002485117992456857,0.4192505476766978,0.43738978026586073,0.3268135215918199,0.9936259741053076,0.9259259259259259,7,0.4733340349864466
2127.0,0.47889972076880877,0.0065532902667219,0.4729741589214911,0.38704179175133924,0.46349799267391806,0.9828687666673074,0.5432098765432098,38,0.4522075400583584
2110.0,0.464086918923018,0.03230631369417752,0.46696387638942705,0.23654570252912419,0.5836830584704173,0.9396330007617003,0.4444444444444444,46,0.34771822892157944
2114.0,0.46397318313746727,0.05078343033033524,0.4829006255926721,0.32810459539910636,0.47939791791134667,0.9190631752433179,0.37037037037037035,52,0.3469159381728394
2128.0,0.4591237365493584,0.01837943190846828,0.48473851861126077,0.2803143447155992,0.5015182945885661,0.982425628848875,0.37037037037037035,52,0.31270800515238323
2111.0,0.4468499836717451,0.03710006539191819,0.489819896764298,0.3321498461344958,0.4699469818465958,0.9341573305505787,0.19753086419753085,66,0.2261291123408722
2115.0,0.4375174991973006,0.014834353604827972,0.49612986099982226,0.2969375635955241,0.5153771566791238,0.9659895202966188,0.0864197530864198,75,0.16029788850616658
2215.0,0.4317633526366343,0.013124483769027483,0.48380975571021967,0.3066652663842694,0.49375454305364463,0.9695531885622228,0.09876543209876543,74,0.11970821367196632
2116.0,0.42560904132995614,0.032872788645792024,0.4716803311475984,0.35847061636224054,0.47243110807628746,0.9498754628999502,0.012345679012345734,81,0.076295781935507
2210.0,0.42498145662584924,0.023439918508948967,0.47306343838805154,0.31141736045241364,0.5247224501698811,0.9659073941024631,0.0,82,0.07186880761324241
2163.0,0.41479306132984944,0.009099718735966343,0.18489583333333331,0.21761658031088082,0.7056127522448765,0.9822836910817327,0.9876543209876543,2,0.0
