BRANDS,BUCKETED_DWELL_TIMES,CATEGORY_TAGS,CITY,CLOSED_ON,DATE_RANGE_END,DATE_RANGE_START,DEVICE_TYPE,ENCLOSED,GEOMETRY_TYPE,INCLUDES_PARKING_LOT,ISO_COUNTRY_CODE,IS_SYNTHETIC,LATITUDE,LOCATION_NAME,LONGITUDE,MEDIAN_DWELL,NAICS_CODE,NORMALIZED_VISITS_BY_REGION_NAICS_VISITORS,NORMALIZED_VISITS_BY_REGION_NAICS_VISITS,NORMALIZED_VISITS_BY_STATE_SCALING,NORMALIZED_VISITS_BY_TOTAL_VISITORS,NORMALIZED_VISITS_BY_TOTAL_VISITS,OPENED_ON,OPEN_HOURS,PARENT_PLACEKEY,PHONE_NUMBER,PLACEKEY,POI_CBG,POLYGON_CLASS,POLYGON_WKT,POPULARITY_BY_DAY,POPULARITY_BY_HOUR,POSTAL_CODE,RAW_VISITOR_COUNTS,RAW_VISIT_COUNTS,REGION,RELATED_SAME_DAY_BRAND,RELATED_SAME_MONTH_BRAND,SAFEGRAPH_BRAND_IDS,STORE_ID,STREET_ADDRESS,SUB_CATEGORY,TOP_CATEGORY,VISITOR_COUNTRY_OF_ORIGIN,VISITOR_DAYTIME_CBGS,VISITOR_HOME_AGGREGATION,VISITOR_HOME_CBGS,VISITS_BY_DAY,WKT_AREA_SQ_METERS,BUCKETED_DWELL_DICT,dwell_5_20,dwell_lt5,dwell_61_240,dwell_gt240,dwell_21_60,dwell_total_obs,POP_DAY_DICT,pop_monday,pop_tuesday,pop_wednesday,pop_thursday,pop_friday,pop_saturday,pop_sunday,POP_HOUR_LIST,peak_hour,evening_share,VISITS_BY_DAY_LIST,avg_daily_visits,max_daily_visits,std_daily_visits
,"""{ \""<5\"":0, \""5-20\"":0, \""21-60\"":0, \""61-240\"":0, \"">240\"":0}""","Asian Food,Salad,Seafood,Vietnamese Food",Boston,,2025-04-01,2025-03-01,,False,POLYGON,False,US,False,42.299857,Huong Que,-71.058404,48.0,722511,2.885419973e-05,8.924029735e-06,17.0,5.960541217e-06,4.17517184e-07,,"""{ \""Mon\"": [[\""10:00\"", \""21:30\""]], \""Tue\"": [[\""10:00\"", \""21:30\""]], \""Wed\"": [[\""10:00\"", \""21:30\""]], \""Thu\"": [[\""10:00\"", \""21:30\""]], \""Fri\"": [[\""10:00\"", \""21:30\""]], \""Sat\"": [[\""10:00\"", \""21:30\""]], \""Sun\"": [[\""10:00\"", \""21:30\""]] }""",,,223-224@62j-sjj-9mk,250250921012.0,OWNED_POLYGON,"POLYGON ((-71.05820163799996 42.29982199900007, -71.05834301999994 42.299786521000044, -71.05837875199995 42.29983128900005, -71.05851312099998 42.299773737000066, -71.05859972599995 42.29988224300007, -71.05827067899997 42.29996165100005, -71.05822066899998 42.299898996000024, -71.05825228599997 42.29988545500004, -71.05820163799996 42.29982199900007))","""{\""Monday\"":0,\""Tuesday\"":1,\""Wednesday\"":0,\""Thursday\"":0,\""Friday\"":0,\""Saturday\"":0,\""Sunday\"":0}""","""[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0]""",2122.0,1.0,1.0,MA,"""{\""7-Eleven\"":0,\""Abe & Louie's\"":0,\""Applebee's\"":0,\""Bella Bridesmaids\"":0,\""Best Buy\"":0,\""CPR Cell Phone Repair\"":0,\""CVS Pharmacy\"":0,\""Capital One\"":0,\""Central Rock Gym\"":0,\""Chick-fil-A\"":0,\""Chili's Grill & Bar\"":0,\""Chipotle Mexican Grill\"":0,\""Clover Food Lab\"":0,\""Crate and Barrel\"":0,\""Dollar General\"":0,\""Dunkin'\"":0,\""Embassy Suites Hotels\"":0,\""Four Points By Sheraton\"":0,\""Hertz\"":0}""","""{\""7-Eleven\"":0,\""7-Eleven Fuel\"":0,\""76\"":0,\""99 Ranch Market\"":0,\""ALDI\"":0,\""AMC Entertainment\"":0,\""ATI Physical Therapy\"":0,\""Aaron's\"":0,\""Abe & Louie's\"":0,\""Advance Auto Parts\"":0,\""Aesop\"":0,\""Alamo Rent A Car\"":0,\""Alex Brown, a Division of Raymond James\"":0,\""Alice and Olivia\"":0,\""Alliant Insurance Services\"":0,\""Allstate Insurance\"":0,\""Aloft Hotels\"":0,\""America's Food Basket\"":0,\""American Eagle Outfitters\"":0}""",,,272 Adams St,Full-Service Restaurants,Restaurants and Other Eating Places,,,,,"""[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0]""",391.0,"{'<5': 0, '5-20': 0, '21-60': 0, '61-240': 0, '>240': 0}",0,0,0,0,0,0,"{'Monday': 0, 'Tuesday': 1, 'Wednesday': 0, 'Thursday': 0, 'Friday': 0, 'Saturday': 0, 'Sunday': 0}",0,1,0,0,0,0,0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]",15,0.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.03225806451612903,1.0,0.17668469596940847
,"""{ \""<5\"":184, \""5-20\"":13, \""21-60\"":10, \""61-240\"":26, \"">240\"":20}""",Sandwich Shop,Boston,,2025-04-01,2025-03-01,"""{\""android\"":85,\""ios\"":53}""",False,POLYGON,False,US,False,42.376386,Puxadinho,-71.065349,12.0,722511,0.007153375196,0.002232576882,3874.0,0.001499872452,0.0001040194075,,,,,zzw-226@62j-shy-7wk,250250404012.0,SHARED_POLYGON,"POLYGON ((-71.06547705999998 42.37664378800008, -71.06543502899996 42.37666974500007, -71.06534635299994 42.376592851000055, -71.06529731799998 42.376623135000045, -71.06522637799998 42.37656161900003, -71.06520536399995 42.37657459800005, -71.06516989299996 42.37654384100006, -71.06514887799995 42.37655681900003, -71.06506020299997 42.37647992500007, -71.06534740499995 42.37630255100004, -71.06540061099997 42.376348688000064, -71.06540761599996 42.376344361000065, -71.06549629199998 42.376421255000025, -71.06546827199998 42.376438559000064, -71.06566335799994 42.37660772600003, -71.06553026499995 42.37668992400006, -71.06547705999998 42.37664378800008))","""{\""Monday\"":40,\""Tuesday\"":27,\""Wednesday\"":40,\""Thursday\"":29,\""Friday\"":32,\""Saturday\"":49,\""Sunday\"":38}""","""[13,5,5,5,5,5,5,18,15,25,27,26,42,19,33,20,22,24,52,27,10,9,5,5]""",2129.0,138.0,255.0,MA,"""{\""CVS\"":53,\""Dunkin'\"":36,\""CVS Pharmacy\"":20,\""Citizens Bank\"":16,\""Dollar Tree\"":16,\""7-Eleven\"":13,\""Clover Food Lab\"":13,\""Kaplan Test Prep\"":13,\""Starbucks\"":13,\""TCC\"":13,\""The Home Depot\"":13,\""Whole Foods Market\"":13,\""99 Restaurants\"":10,\""Bank of America\"":10,\""CPR Cell Phone Repair\"":10,\""Enterprise Rent-A-Car\"":10,\""Goodwill Industries\"":10,\""Supercuts\"":10,\""T.J. Maxx\"":10}""","""{\""CVS\"":114,\""Dunkin'\"":110,\""CVS Pharmacy\"":90,\""Whole Foods Market\"":80,\""Citizens Bank\"":70,\""Starbucks\"":70,\""7-Eleven\"":67,\""Kaplan Test Prep\"":60,\""Bank of America\"":57,\""TCC\"":57,\""The Home Depot\"":57,\""Clover Food Lab\"":53,\""Mobil\"":53,\""PNC Financial Services\"":53,\""Subway\"":53,\""Tatte Bakery\"":53,\""Rotary Club\"":50,\""Simon mall\"":50,\""T.J. Maxx\"":50}""",,,202 Main St,Full-Service Restaurants,Restaurants and Other Eating Places,"""{\""US\"":138}""","""{\""250250404012\"":55,\""250250404011\"":21,\""250250402002\"":19,\""250250406002\"":6,\""250250408011\"":6,\""250250701011\"":6,\""250250406001\"":4,\""250173422022\"":3,\""250173531011\"":3,\""250250408013\"":3,\""191930001004\"":3,\""250250001001\"":3,\""250250107011\"":3,\""250173396001\"":3}""","""{\""25025040401\"":69,\""25025040200\"":18,\""25025040300\"":18,\""25025040600\"":9,\""25025040801\"":9,\""25025020303\"":3,\""25021402500\"":3,\""25017342202\"":3,\""25025000100\"":3,\""25017351403\"":3}""","""{\""250250404012\"":48,\""250250404011\"":21,\""250250402002\"":18,\""250250403002\"":15,\""250250406002\"":6,\""250250408011\"":6,\""250173422022\"":3,\""250250203032\"":3,\""250173514031\"":3,\""250214025001\"":3,\""250250001001\"":3,\""250250408013\"":3,\""250250406001\"":3,\""250250403001\"":3}""","""[9,7,8,9,9,6,9,9,7,7,8,8,8,8,7,8,9,7,4,15,10,8,13,6,8,6,8,5,8,10,9]""",1010.0,"{'<5': 184, '5-20': 13, '21-60': 10, '61-240': 26, '>240': 20}",13,184,26,20,10,253,"{'Monday': 40, 'Tuesday': 27, 'Wednesday': 40, 'Thursday': 29, 'Friday': 32, 'Saturday': 49, 'Sunday': 38}",40,27,40,29,32,49,38,"[13, 5, 5, 5, 5, 5, 5, 18, 15, 25, 27, 26, 42, 19, 33, 20, 22, 24, 52, 27, 10, 9, 5, 5]",18,0.3009478672985782,"[9, 7, 8, 9, 9, 6, 9, 9, 7, 7, 8, 8, 8, 8, 7, 8, 9, 7, 4, 15, 10, 8, 13, 6, 8, 6, 8, 5, 8, 10, 9]",8.161290322580646,15.0,2.0493393773249795
,"""{ \""<5\"":163, \""5-20\"":6, \""21-60\"":8, \""61-240\"":10, \"">240\"":19}""",Chinese Food,Boston,,2025-04-01,2025-03-01,"""{\""android\"":102,\""ios\"":43}""",False,POLYGON,False,US,False,42.34996,Bos Sichuan Taste,-71.130476,37.0,722511,0.005817898378,0.001810321594,3159.0,0.001224529002,8.446790014e-05,,"""{ \""Mon\"": [[\""11:00\"", \""21:00\""]], \""Tue\"": [[\""11:00\"", \""21:00\""]], \""Wed\"": [[\""11:00\"", \""21:00\""]], \""Thu\"": [[\""11:00\"", \""21:00\""]], \""Fri\"": [[\""11:00\"", \""21:30\""]], \""Sat\"": [[\""11:00\"", \""21:30\""]], \""Sun\"": [[\""11:00\"", \""21:30\""]] }""",,,25t-223@62j-sgk-bp9,250250007031.0,SHARED_POLYGON,"POLYGON ((-71.13033810299999 42.34997657900004, -71.13054523699998 42.34989808300003, -71.13068522799995 42.35009604900006, -71.13063344499994 42.35011567300006, -71.13064535899997 42.350132521000035, -71.13017930699993 42.35030913800006, -71.13016441499997 42.35028807800006, -71.13006660099995 42.350325145000056, -71.12972604299995 42.35024591200005, -71.12979264899997 42.350092493000034, -71.12998252099999 42.35002053800008, -71.13003315599997 42.35009214300004, -71.13025146299998 42.35014293300003, -71.13050462599995 42.350046994000024, -71.13048079699996 42.35001329600004, -71.13038873899995 42.35004818400006, -71.13033810299999 42.34997657900004))","""{\""Monday\"":31,\""Tuesday\"":24,\""Wednesday\"":29,\""Thursday\"":27,\""Friday\"":30,\""Saturday\"":39,\""Sunday\"":29}""","""[16,21,19,9,9,17,37,13,23,19,19,10,16,23,19,29,18,25,40,17,17,16,30,15]""",2134.0,145.0,209.0,MA,"""{\""Dunkin'\"":56,\""CVS Pharmacy\"":38,\""7-Eleven\"":30,\""Capital One\"":27,\""Shake Shack\"":27,\""Abe & Louie's\"":25,\""Bella Bridesmaids\"":25,\""CPR Cell Phone Repair\"":25,\""Crate and Barrel\"":25,\""Nike\"":25,\""PNC Financial Services\"":25,\""The Sill\"":25,\""Zara\"":25,\""lululemon athletica\"":25,\""Bank of America\"":22,\""McDonald's\"":19,\""Starbucks\"":19,\""Legal Sea Foods\"":18,\""CVS\"":16}""","""{\""Dunkin'\"":119,\""CVS Pharmacy\"":107,\""Starbucks\"":84,\""7-Eleven\"":80,\""Shake Shack\"":75,\""CVS\"":73,\""Star Market\"":72,\""Bank of America\"":69,\""CPR Cell Phone Repair\"":69,\""PNC Financial Services\"":69,\""Capital One\"":68,\""Citizens Bank\"":68,\""Clover Food Lab\"":67,\""Crate and Barrel\"":65,\""Supercuts\"":65,\""Zara\"":64,\""lululemon athletica\"":64,\""Abe & Louie's\"":63,\""Bella Bridesmaids\"":63}""",,,204 Harvard Ave,Full-Service Restaurants,Restaurants and Other Eating Places,"""{\""US\"":145}""","""{\""250250007031\"":72,\""250250007043\"":7,\""250250006021\"":4,\""250250004014\"":3,\""250250005042\"":3,\""250259813002\"":3,\""250250005041\"":3,\""240037061011\"":3,\""250173576001\"":3,\""040131152001\"":3,\""250251011022\"":3,\""250251603001\"":2,\""250250901001\"":2,\""250250008031\"":2,\""250250102033\"":2,\""250173418004\"":2,\""250250107011\"":2,\""250250006014\"":2,\""250092517002\"":2,\""250214003003\"":2,\""250250007041\"":2,\""250251707012\"":2,\""250250006023\"":2,\""250250202003\"":2,\""250250008032\"":2,\""250250008024\"":2,\""250250819004\"":2,\""250250008022\"":2,\""250235612001\"":2,\""250173531012\"":2}""","""{\""25025000703\"":61,\""25025000704\"":11,\""25025000802\"":8,\""25025000602\"":5,\""33015100200\"":3,\""25017357600\"":3,\""24003706101\"":3,\""25025000504\"":3,\""25009250100\"":3,\""25017353101\"":3,\""25025081900\"":3,\""25023530100\"":3,\""25017350103\"":3,\""25025170701\"":3,\""25025981300\"":3,\""25025070101\"":3,\""25025160502\"":3,\""25021417601\"":3,\""25017373100\"":3,\""23017965100\"":3,\""25027732802\"":3,\""25025160300\"":3,\""25025000401\"":2,\""36061008400\"":2,\""25025101102\"":2}""","""{\""250250007031\"":61,\""250250007043\"":8,\""250250008022\"":8,\""250250006021\"":5,\""330151002001\"":4,\""250250007041\"":3,\""240037061011\"":3,\""250250005042\"":3,\""360610084002\"":3,\""250251011022\"":3,\""250250004014\"":3,\""250173576001\"":3,\""250259813002\"":3,\""250092501001\"":3,\""250250819004\"":3,\""250250008024\"":3,\""250277328022\"":2,\""250173731004\"":2,\""250250701011\"":2,\""250251603001\"":2,\""250250007044\"":2,\""250251707012\"":2,\""250235301002\"":2,\""250251605023\"":2,\""250214176011\"":2,\""250173501031\"":2,\""250250006023\"":2,\""250173531012\"":2,\""230179651002\"":2}""","""[6,6,6,6,9,7,7,5,6,6,6,7,8,7,10,14,5,8,6,7,7,5,5,7,5,5,5,6,8,9,5]""",1662.0,"{'<5': 163, '5-20': 6, '21-60': 8, '61-240': 10, '>240': 19}",6,163,10,19,8,206,"{'Monday': 31, 'Tuesday': 24, 'Wednesday': 29, 'Thursday': 27, 'Friday': 30, 'Saturday': 39, 'Sunday': 29}",31,24,29,27,30,39,29,"[16, 21, 19, 9, 9, 17, 37, 13, 23, 19, 19, 10, 16, 23, 19, 29, 18, 25, 40, 17, 17, 16, 30, 15]",18,0.3039832285115304,"[6, 6, 6, 6, 9, 7, 7, 5, 6, 6, 6, 7, 8, 7, 10, 14, 5, 8, 6, 7, 7, 5, 5, 7, 5, 5, 5, 6, 8, 9, 5]",6.741935483870968,14.0,1.8659554663199445
