BRANDS,CATEGORY_TAGS,CITY,ENCLOSED,INCLUDES_PARKING_LOT,LATITUDE,LOCATION_NAME,LONGITUDE,MEDIAN_DWELL,NAICS_CODE,NORMALIZED_VISITS_BY_TOTAL_VISITORS,NORMALIZED_VISITS_BY_TOTAL_VISITS,POSTAL_CODE,RAW_VISITOR_COUNTS,RAW_VISIT_COUNTS,REGION,STREET_ADDRESS,SUB_CATEGORY,TOP_CATEGORY,dwell_5_20,dwell_lt5,dwell_61_240,dwell_gt240,dwell_21_60,dwell_total_obs,peak_hour,evening_share,avg_daily_visits,max_daily_visits,std_daily_visits,dwell_lt5_share,dwell_5_20_share,dwell_21_60_share,dwell_61_240_share,dwell_gt240_share,fast_food_behavior_score,visit_volume_score,stability_score,zip_restaurant_count,competition_score,fast_food_behavior_score_norm
,"Japanese Food,Sushi",Boston,False,False,42.351016,Irashai Sushi and Teriyaki,-71.062467,5.0,722513,0.0007759102567,5.35353606e-05,2111.0,65.0,134.0,MA,8 Kneeland St,Limited-Service Restaurants,Restaurants and Other Eating Places,7,103,0,22,0,132.0,23,0.1897590361445783,4.129032258064516,6.0,2.105935321799931,0.7803030303030303,0.05303030303030303,0.0,0.0,0.16666666666666666,0.4893939393939394,0.0031435391996974637,0.9911784155071354,66,0.19753086419753085,0.8156565656565656
Shake Shack,"Burgers,Counter Service,Dinner,Lunch,Truck or Cart",Boston,False,False,42.35699,Shake Shack,-71.058394,1.0,722513,0.001185075045,8.210476649e-05,2108.0,154.0,202.0,MA,322 Washington St,Limited-Service Restaurants,Restaurants and Other Eating Places,7,161,5,17,10,200.0,16,0.19631901840490798,6.354838709677419,11.0,1.8759666256191885,0.805,0.035,0.05,0.025,0.085,0.497,0.004750762249166844,0.9922299576224575,31,0.6296296296296297,0.8283333333333334
Panera Bread,"Breakfast,Catering,Counter Service,Dinner,Lunch,Salad,Sandwich Shop,Soup",Boston,True,False,42.35148,Panera Bread,-71.064777,1.0,722515,0.001250049934,8.70569074e-05,2116.0,155.0,211.0,MA,115 Stuart St,Snack and Nonalcoholic Beverage Bars,Restaurants and Other Eating Places,5,189,6,7,3,210.0,19,0.3603238866396761,6.903225806451613,19.0,3.896688740784903,0.9,0.023809523809523808,0.014285714285714285,0.02857142857142857,0.03333333333333333,0.5495238095238095,0.0049634829468907325,0.9829901156667963,81,0.012345679012345734,0.915873015873016
,Korean Food,Boston,False,False,42.345834,Haju Kitchen,-71.08737,3.0,722511,0.0004435157853,3.009216708e-05,2115.0,70.0,75.0,MA,175 Massachusetts Ave,Full-Service Restaurants,Restaurants and Other Eating Places,5,65,0,0,5,75.0,19,0.5773195876288659,2.4838709677419355,5.0,1.6238339288584798,0.8666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.5466666666666666,0.0017490368479519723,0.9933828456185056,75,0.0864197530864198,0.9111111111111111
,"Bar or Pub,Late Night,Steak House",Boston,False,False,42.341532,Boston Chops South End,-71.069512,194.0,722511,0.002415324456,0.0001671423998,2118.0,184.0,413.0,MA,1375 Washington St,Full-Service Restaurants,Restaurants and Other Eating Places,13,246,30,113,8,410.0,9,0.1294615849969752,13.225806451612904,17.0,2.523562221368767,0.6,0.03170731707317073,0.01951219512195122,0.07317073170731707,0.275609756097561,0.3726829268292683,0.009737880829138009,0.9892687978909931,44,0.4691358024691358,0.6211382113821139
,"Mediterranean Food,Turkish Food",Boston,False,False,42.35816,Boston Kebab Boston,-71.054997,31.0,722511,0.001149029096,7.888335324e-05,2109.0,187.0,203.0,MA,7 Liberty Sq,Full-Service Restaurants,Restaurants and Other Eating Places,0,140,0,15,46,201.0,14,0.2821576763485477,6.064516129032258,14.0,6.262718588656814,0.6965174129353234,0.0,0.22885572139303484,0.0,0.07462686567164178,0.41791044776119407,0.004774397882247276,0.9721713387094705,47,0.4320987654320988,0.6965174129353234
,,Boston,True,False,42.349975,Cafe 300,-71.049306,2.0,722511,0.005912756752,0.0004138307462,2210.0,685.0,1009.0,MA,300 Summer St Bsmt,Full-Service Restaurants,Restaurants and Other Eating Places,16,824,50,93,23,1006.0,11,0.13975903614457832,31.741935483870968,138.0,21.925044954432867,0.8190854870775348,0.015904572564612324,0.02286282306163022,0.04970178926441352,0.09244532803180915,0.49781312127236577,0.023824718145075516,0.900554653173326,82,0.0,0.8296885354539429
,"Chicken,Chicken Wings",Boston,True,False,42.352877,Underdog Hot Chicken,-71.132573,129.0,722511,0.001400688124,9.701915719e-05,2134.0,218.0,239.0,MA,160 Brighton Ave,Full-Service Restaurants,Restaurants and Other Eating Places,5,145,51,26,10,237.0,0,0.38461538461538464,7.580645161290323,14.0,2.1518813006655377,0.6118143459915611,0.02109704641350211,0.04219409282700422,0.21518987341772153,0.10970464135021098,0.3755274261603375,0.00562528067314283,0.9909683254704944,23,0.7283950617283951,0.6258790436005626
,"Mexican Food,Truck or Cart",Boston,False,False,42.358085,Tacos Calleteco,-71.05936,1.0,722511,0.01139568718,0.0007787004934,2201.0,1481.0,1948.0,MA,1 City Hall Sq,Full-Service Restaurants,Restaurants and Other Eating Places,75,1611,118,99,42,1945.0,12,0.24249797242497972,61.38709677419355,146.0,26.287096576267025,0.8282776349614396,0.038560411311053984,0.021593830334190232,0.060668380462724936,0.05089974293059126,0.5123907455012854,0.04601857760760122,0.8806089776716364,2,0.9876543209876543,0.8539845758354757
,"Coffee Shop,Sandwich Shop",Boston,False,False,42.373856,Americano Espresso Bar,-71.038874,29.0,722515,0.000699824081,4.856871865e-05,2128.0,119.0,119.0,MA,155 Meridian St,Snack and Nonalcoholic Beverage Bars,Restaurants and Other Eating Places,0,113,0,0,5,118.0,5,0.3140495867768595,3.806451612903226,5.0,0.8583312706871014,0.9576271186440678,0.0,0.0423728813559322,0.0,0.0,0.5745762711864406,0.002789004703490983,0.9968831406492066,52,0.37037037037037035,0.9576271186440677
,Coffee Shop,Boston,True,False,42.35156,Gracenote Coffee,-71.058069,2.0,722515,0.004227426909,0.0002910085654,2111.0,519.0,726.0,MA,108 Lincoln St,Snack and Nonalcoholic Beverage Bars,Restaurants and Other Eating Places,16,619,29,42,16,722.0,12,0.15669205658324264,23.258064516129032,41.0,8.500351954517905,0.8573407202216067,0.0221606648199446,0.0221606648199446,0.04016620498614958,0.05817174515235457,0.5232686980609418,0.017135833983313243,0.9619396603900717,66,0.19753086419753085,0.8721144967682364
,Smoothie & Juice Bar,Boston,True,False,42.365765,Juicygreens,-71.06201,13.0,722515,0.009646828688,0.0006610835494,2114.0,1232.0,1652.0,MA,80 Causeway St,Snack and Nonalcoholic Beverage Bars,Restaurants and Other Eating Places,151,1126,100,158,114,1649.0,17,0.3911042944785276,52.74193548387097,115.0,24.196730973466007,0.6828380836870831,0.09157064887810794,0.06913280776228017,0.06064281382656155,0.09581564584596726,0.446331109763493,0.03902243021579333,0.8901672675792262,52,0.37037037037037035,0.7438851829391551
,"Italian Food,Seafood",Boston,False,False,42.363247,Aqua Pazza,-71.054102,1.0,722511,0.01212778981,0.0008365541822,2109.0,1651.0,2049.0,MA,135 Richmond St,Full-Service Restaurants,Restaurants and Other Eating Places,86,1779,82,43,56,2046.0,16,0.32592592592592595,67.29032258064517,149.0,27.230430734023614,0.8695014662756598,0.042033235581622676,0.02737047898338221,0.04007820136852395,0.021016617790811338,0.538514173998045,0.048405776548724855,0.8762955401813297,47,0.4320987654320988,0.8975236233300751
,,Boston,False,False,42.351129,Ils Wayport,-71.062789,4.0,722511,0.02890950027,0.002000426898,2111.0,3099.0,4892.0,MA,702 Washington St,Full-Service Restaurants,Restaurants and Other Eating Places,150,3763,337,496,144,4890.0,12,0.30006101281269065,160.5483870967742,237.0,60.0939257891626,0.7695296523517382,0.03067484662576687,0.029447852760736196,0.0689161554192229,0.10143149284253579,0.47398773006134964,0.1156018813963932,0.7260257439826401,66,0.19753086419753085,0.7899795501022494
Gong Cha,"Bubble Tea Shop,Counter Service,Drinks,Sandwich Shop,Smoothie & Juice Bar,Snacks,Take Out and Delivery Only",Boston,False,False,42.34917,Gong Cha,-71.083367,12.0,722513,0.0005541329405,3.799232208e-05,2116.0,95.0,95.0,MA,270 Newbury St,Limited-Service Restaurants,Restaurants and Other Eating Places,28,57,0,0,9,94.0,17,0.3893805309734513,3.064516129032258,6.0,2.804782596036666,0.6063829787234043,0.2978723404255319,0.09574468085106383,0.0,0.0,0.48297872340425535,0.0022217495095606136,0.9879829051909816,81,0.012345679012345734,0.8049645390070923
Charley's,"Counter Service,Dinner,Lunch,Sandwich Shop",Boston,True,False,42.338006,Charley's,-71.10654,32.0,722513,0.01076632801,0.0007479816442,2115.0,935.0,1862.0,MA,350 Longwood Ave,Limited-Service Restaurants,Restaurants and Other Eating Places,155,1137,140,338,89,1859.0,10,0.2656759695541863,58.483870967741936,105.0,26.028360422929666,0.6116191500806886,0.08337816030123722,0.047875201721355565,0.07530930607853685,0.18181818181818182,0.400322754168908,0.04398591316268406,0.8817920602672643,75,0.0864197530864198,0.6672045902815134
